;Veroeffentlichungs-Nummer;Erfinder;Anmelder/Inhaber
886;US020200092364A1;GARAGIOLA ANDRES, AR;IBM, US
887;US020200092364A1;MANNAN ROSANNA, US;IBM, US
888;US020200092364A1;MASINI DIEGO A, AR;IBM, US
889;US020200092364A1;PONCELEON DULCE B, US;IBM, US
890;US020200092364A1;SCHULTZ KEVIN L, US;IBM, US
891;US020200092363A1;NARAYANAM KRISHNASURI, IN;IBM, US
892;US020200092363A1;NATARAJAN SENTHILNATHAN, IN;IBM, US
893;US020200092363A1;PANDIT VINAYAKA, IN;IBM, US
894;US020200092363A1;VISWANATHAN BALAJI, IN;IBM, US
895;US020200092362A1;NARAYANAM KRISHNASURI, IN;IBM, US
896;US020200092362A1;NATARAJAN SENTHILNATHAN, IN;IBM, US
897;US020200092362A1;PANDIT VINAYAKA, IN;IBM, US
898;US020200092362A1;VISWANATHAN BALAJI, IN;IBM, US
899;US020200092361A1;NARAYANAM KRISHNASURI, IN;IBM, US
900;US020200092361A1;NATARAJAN SENTHILNATHAN, IN;IBM, US
901;US020200092361A1;PANDIT VINAYAKA, IN;IBM, US
902;US020200092361A1;VISWANATHAN BALAJI, IN;IBM, US
903;US020200092360A1;NARAYANAM KRISHNASURI, IN;IBM, US
904;US020200092360A1;NATARAJAN SENTHILNATHAN, IN;IBM, US
905;US020200092360A1;PANDIT VINAYAKA, IN;IBM, US
906;US020200092360A1;VISWANATHAN BALAJI, IN;IBM, US
907;US020200092088A1;DILLENBERGER DONNA N, US;IBM, US
908;US020200092088A1;GAUR NITIN, US;IBM, US
909;US020200092088A1;NOVOTNY PETR, US;IBM, US
910;US020200090203A1;BECKMANN RALPH, DE;HEWLETT PACKARD ENTPR DEV LP, US
911;US020200090203A1;KAMMHOLZ BERND, DE;HEWLETT PACKARD ENTPR DEV LP, US
912;US020200090203A1;REICHENBACH CHRISTIAN, DE;HEWLETT PACKARD ENTPR DEV LP, US
913;US020200090203A1;SARIC KATARINA, DE;HEWLETT PACKARD ENTPR DEV LP, US
914;US020200090171A1;BAJPAI RAVI, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
915;US020200090171A1;CHAUHAN SHASHANK, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
916;US020200090171A1;DORLA SRIKANTH REDDY, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
917;US020200090171A1;GUPTA TUSHAR, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
918;US020200090171A1;JAIN VISHAL, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
919;US020200090171A1;KUMAR KHUSHBOO, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
920;US020200090171A1;SACHDEVA HARMEET, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
921;US020200090171A1;SEHGAL TARUN, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
922;US020200090171A1;SHARMA ANSHUL, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
923;US020200090171A1;SURANA SONAL, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
924;US020200090171A1;VERMA DIPTI, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
925;US020200090090A1;PADMANABHAN HARI, IN;ACCENTURE GLOBAL SOLUTIONS LTD, IE
926;US020200090090A1;REDDY GARLAPATI SRINIVAS, IN;ACCENTURE GLOBAL SOLUTIONS LTD, IE
927;US020200090090A1;TARA PACHHIPULUSU ROHINI, IN;ACCENTURE GLOBAL SOLUTIONS LTD, IE
928;US020200089895A1;GOLLOGLY JONATHAN JAMES, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
929;US020200082405A1;KARAME GHASSAN, DE;NEC LABORATORIES EUROPE GMBH, DE
930;US020200082405A1;LI WENTING, DE;NEC LABORATORIES EUROPE GMBH, DE
931;US020200081746A1;BERGENDAHL MARC, US;IBM, US
932;US020200081746A1;DEMAREST JAMES, US;IBM, US
933;US020200081746A1;FRY JONATHAN, US;IBM, US
934;US020200081746A1;PENNY CHRISTOPHER J, US;IBM, US
935;US020200081746A1;WASKIEWICZ CHRISTOPHER J, US;IBM, US
936;US020200081746A1;WYNNE JEAN, US;IBM, US
937;US020200074463A1;NOBLE GARY P, GB;IBM, US
938;US020200074458A1;DESHPANDE PRALHAD DINESH, SG;IBM, US
939;US020200074458A1;GOVINDARAJAN CHANDER, IN;IBM, US
940;US020200074423A1;NOBLE GARY P, GB;IBM, US
941;US020200074421A1;ASVER AJMAL, US;COINBASE INC, US
942;US020200074421A1;EMMER CARLY, US;COINBASE INC, US
943;US020200074421A1;FLOCKHART ANDREW, US;COINBASE INC, US
944;US020200074421A1;MILOSEVIC VLADIMIR, US;COINBASE INC, US
945;US020200074421A1;YIN AMY, US;COINBASE INC, US
946;US020200059363A1;LOBO CHARLES H, US;WALMART APOLLO LLC, US
947;US020200059363A1;NELMS DAVID M, US;WALMART APOLLO LLC, US
948;US020200059363A1;SHAKE SID, US;WALMART APOLLO LLC, US
949;US020200059363A1;WILKINSON BRUCE W, US;WALMART APOLLO LLC, US
950;US020200058021A1;GUPTA AMIT, IN;MASTERCARD INTERNATIONAL INC, US
951;US020200058021A1;MITTAL SHREYA, IN;MASTERCARD INTERNATIONAL INC, US
952;US020200058021A1;YADAV DEEPAK, IN;MASTERCARD INTERNATIONAL INC, US
953;US020200057992A1;NEUMAYER PETER J, DE;SAP SE, DE
954;US020200057992A1;SOMMER CHRISTIAN, DE;SAP SE, DE
955;US020200052879A1;GAUR NITIN, US;IBM, US
956;US020200052879A1;IRAZABAL JERONIMO, AR;IBM, US
957;US020200051010A1;BHAGERIA GOPAL K, IN;IBM, US
958;US020200051010A1;RAKSHIT SARBAJIT K, IN;IBM, US
959;US020200051010A1;SARAYA SIDDARTH K, IN;IBM, US
960;US020200050690A1;GAUR NITIN, US;IBM, US
961;US020200050690A1;IRAZABAL JERONIMO, AR;IBM, US
962;US020200042960A1;COOK JANE E, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
963;US020200042960A1;FERENCZI ANDRAS L, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
964;US020200042960A1;GRAUMAN NAT, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
965;US020200042960A1;JADHAV NILESH Y, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
966;US020200042960A1;NAIK HARISH R, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
967;US020200042960A1;TANG ROSA W, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
968;US020200037158A1;SOUNDARARAJAN ABILASH, IN;HEWLETT PACKARD ENTPR DEV LP, US
969;US020200037158A1;TENNEFOSS MICHAEL REID, US;HEWLETT PACKARD ENTPR DEV LP, US
970;US020200036712A1;SOUNDARARAJAN ABILASH, IN;HEWLETT PACKARD ENTPR DEV LP, US
971;US020200036712A1;TENNEFOSS MICHAEL REID, US;HEWLETT PACKARD ENTPR DEV LP, US
972;US020200036533A1;SOUNDARARAJAN ABILASH, IN;HEWLETT PACKARD ENTPR DEV LP, US
973;US020200036533A1;TENNEFOSS MICHAEL REID, US;HEWLETT PACKARD ENTPR DEV LP, US
974;US020200034876A1;SOUNDARARAJAN ABILASH, IN;HEWLETT PACKARD ENTPR DEV LP, US
975;US020200034876A1;TENNEFOSS MICHAEL REID, US;HEWLETT PACKARD ENTPR DEV LP, US
976;US020200034839A1;SOUNDARARAJAN ABILASH, IN;HEWLETT PACKARD ENTPR DEV LP, US
977;US020200034839A1;TENNEFOSS MICHAEL REID, US;HEWLETT PACKARD ENTPR DEV LP, US
978;US020200034813A1;CALINOG MILLICENT, US;WELLS FARGO BANK NA, US
979;US020200034813A1;CHOUANARD-MCADAM PATRICIA J, US;WELLS FARGO BANK NA, US
980;US020200034813A1;KALABOUKIS CHRIS, US;WELLS FARGO BANK NA, US
981;US020200034813A1;KUSHNER KRISTINE ING, US;WELLS FARGO BANK NA, US
982;US020200034813A1;MUNIR MUHAMMAD FARUKH, US;WELLS FARGO BANK NA, US
983;US020200034813A1;WILLIAMS RAISSA, US;WELLS FARGO BANK NA, US
984;US020200026785A1;ATTEERI VASUDEVAN, US;BANK OF AMERICA, US
985;US020200026785A1;PATANGIA VISHAL, US;BANK OF AMERICA, US
986;US020200026785A1;STANDRING MARK, US;BANK OF AMERICA, US
987;US020200026785A1;STEED MATTHEW, US;BANK OF AMERICA, US
988;US020200021439A1;SATO TATSUYA, JP;HITACHI LTD, JP
989;US020200019980A1;ARORA ANKUR, IN;MASTERCARD INTERNATIONAL INC, US
990;US020200019980A1;DUA ANKUR, IN;MASTERCARD INTERNATIONAL INC, US
991;US020200019980A1;KODURI ADITYA, IN;MASTERCARD INTERNATIONAL INC, US
992;US020200019980A1;PATEL RAKESH, IN;MASTERCARD INTERNATIONAL INC, US
993;US020200019931A1;PADMANABHAN HARI, IN;ACCENTURE GLOBAL SOLUTIONS LTD, IE
994;US020200019931A1;PRABHAKAR ARUN, IN;ACCENTURE GLOBAL SOLUTIONS LTD, IE
995;US020200013118A1;ALDECOA CHRISTIAN A, US;ACCENTURE GLOBAL SOLUTIONS LTD, IE
996;US020200013118A1;NAYAB NIKHIL, US;ACCENTURE GLOBAL SOLUTIONS LTD, IE
997;US020200013118A1;PINGARO TODD C, US;ACCENTURE GLOBAL SOLUTIONS LTD, IE
998;US020200013118A1;TREAT DAVID B, US;ACCENTURE GLOBAL SOLUTIONS LTD, IE
999;US020190392406A1;ASIF MUHAMMAD TAYYAB, SG;IBM, US
1000;US020190392406A1;DESHPANDE PRALHAD DINESH, SG;IBM, US
1001;US020190392406A1;SUEN CHUN HUI, SG;IBM, US
1002;US020190385170A1;ARRABOTHU APOORV REDDY, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1003;US020190385170A1;CHAUDHURY JAYATU SEN, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1004;US020190385170A1;HORE PRODIP, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1005;US020190385170A1;TRIPATHY AVINASH, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1006;US020190385170A1;XU DI, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1007;US020190384834A1;DAKSHINYAM SRINIVASA RAO, IN;BANK OF AMERICA, US
1008;US020190384834A1;NELLURI GOVINDA RAJULU, IN;BANK OF AMERICA, US
1009;US020190370791A1;CHRISTIAN SUSAN J, US;IBM, US
1010;US020190370791A1;KNUHTSEN THYGE S, US;IBM, US
1011;US020190370791A1;STARK RANDALL A, US;IBM, US
1012;US020190370791A1;THOMAS MATHEWS, US;IBM, US
1013;US020190361874A1;FUKUCHI KAIHO, JP;HITACHI LTD, JP
1014;US020190361874A1;HAYASAKA MITSUO, JP;HITACHI LTD, JP
1015;US020190361874A1;NEMOTO JUN, JP;HITACHI LTD, JP
1016;US020190354968A1;HIMURA YOSUKE, JP;HITACHI LTD, JP
1017;US020190354968A1;SATO TATSUYA, JP;HITACHI LTD, JP
1018;US020190349321A1;CAI YIXIAN, CA;ROYAL BANK OF CANADA, CA
1019;US020190349321A1;CHAVDA CHETANA, CA;ROYAL BANK OF CANADA, CA
1020;US020190349321A1;GHADERI AMIR, CA;ROYAL BANK OF CANADA, CA
1021;US020190349321A1;HU PEI, CA;ROYAL BANK OF CANADA, CA
1022;US020190349321A1;KHIRWADKAR ANKIT, CA;ROYAL BANK OF CANADA, CA
1023;US020190340584A1;ARORA ANKUR, IN;MASTERCARD INTERNATIONAL INC, US
1024;US020190340584A1;KUMAR AVINASH, IN;MASTERCARD INTERNATIONAL INC, US
1025;US020190340584A1;PATEL RAKESH, IN;MASTERCARD INTERNATIONAL INC, US
1026;US020190333058A1;HONG JAY WU, KR;COINPLUG INC, KR
1027;US020190333058A1;SUH MOON GJU, KR;COINPLUG INC, KR
1028;US020190333030A1;PURUSHOTHAMAN SASIDHAR, IN;BANK OF AMERICA, US
1029;US020190333030A1;RAMASAMY SUKI, IN;BANK OF AMERICA, US
1030;US020190325433A1;HIRSCH DAVID W, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1031;US020190325433A1;KANNAN KANAGAVEL, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1032;US020190325433A1;KUMAR KAMMALI KANNACHERI PARAMBIL ARUN, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1033;US020190325433A1;NARAYANAN SATISH T, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1034;US020190322426A1;DWIVEDI GAYATRI, IN;MASTERCARD INTERNATIONAL INC, US
1035;US020190322426A1;MAHESHWARI NISHANT, IN;MASTERCARD INTERNATIONAL INC, US
1036;US020190322426A1;VERMA RACHIT, IN;MASTERCARD INTERNATIONAL INC, US
1037;US020190305933A1;MIYAMAE TAKESHI, JP;FUJITSU LTD, JP
1038;US020190305933A1;TAMURA MASAHISA, JP;FUJITSU LTD, JP
1039;US020190304038A1;PURUSHOTHAMAN SASIDHAR, IN;BANK OF AMERICA, US
1040;US020190304038A1;RAMASAMY SUKI, IN;BANK OF AMERICA, US
1041;US020190303939A1;CASTINADO JOSEPH, US;BANK OF AMERICA, US
1042;US020190303939A1;KURIAN MANU, US;BANK OF AMERICA, US
1043;US020190303893A1;PURUSHOTHAMAN SASIDHAR, IN;BANK OF AMERICA, US
1044;US020190303893A1;RAMASAMY SUKI, IN;BANK OF AMERICA, US
1045;US020190303888A1;FIRAT ATILLA MURAT, CA;ROYAL BANK OF CANADA, CA
1046;US020190303888A1;HAMASNI KARIM TALAL, CA;ROYAL BANK OF CANADA, CA
1047;US020190303888A1;MUELLER STEFAN, SG;ROYAL BANK OF CANADA, CA
1048;US020190303888A1;PESKETT MATTHEW THOMAS, CA;ROYAL BANK OF CANADA, CA
1049;US020190303882A1;PURUSHOTHAMAN SASIDHAR, IN;BANK OF AMERICA, US
1050;US020190303882A1;RAMASAMY SUKI, IN;BANK OF AMERICA, US
1051;US020190302249A1;CANTRELL ROBERT L, US;WALMART APOLLO LLC, US
1052;US020190302249A1;HIGH DONALD R, US;WALMART APOLLO LLC, US
1053;US020190302249A1;MATTINGLY TODD D, US;WALMART APOLLO LLC, US
1054;US020190302249A1;MCHALE BRIAN G, GB;WALMART APOLLO LLC, US
1055;US020190302249A1;O'BRIEN JOHN J, US;WALMART APOLLO LLC, US
1056;US020190302249A1;WINKLE DAVID C, US;WALMART APOLLO LLC, US
1057;US020190296895A1;BANKS SARAH, US;ACCENTURE GLOBAL SOLUTIONS LTD, IE
1058;US020190296895A1;CHHAYA DEVEN BHARAT, SG;ACCENTURE GLOBAL SOLUTIONS LTD, IE
1059;US020190296895A1;DIENER-VEINOTT ADRIANA GABRIELA, US;ACCENTURE GLOBAL SOLUTIONS LTD, IE
1060;US020190287183A1;BISHNOI RICHA, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1061;US020190287183A1;CHETAL BOBBY, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1062;US020190287183A1;JAIN PRIYESHA, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1063;US020190287183A1;JAIN VISHAL, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1064;US020190287183A1;KAKKAR ISHA, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1065;US020190287183A1;MADAN PREETIKA, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1066;US020190287183A1;PRUTHI MAYANK, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1067;US020190287183A1;SAWHNEY ASHI KALRA, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1068;US020190287183A1;SETIA MADHU, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1069;US020190287183A1;SHARMA RAHUL, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1070;US020190287183A1;SHODE YAKSHI, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1071;US020190287183A1;SINGH KARTIKEYA, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1072;US020190287183A1;SINGH VIVEK, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1073;US020190287183A1;VEERAPPAN ANNAMALAI, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1074;US020190287182A1;CHETAL BOBBY, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1075;US020190287182A1;FUSILLO IWAO, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1076;US020190287182A1;GAUR TUSHAR KANT, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1077;US020190287182A1;GHATE NILESH ANIL, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1078;US020190287182A1;JAIN ANSHUL, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1079;US020190287182A1;JAIN VISHAL, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1080;US020190287182A1;KACHHARA ABHISHEK, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1081;US020190287182A1;MADAAN SANJAY, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1082;US020190287182A1;MADAN PREETIKA, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1083;US020190287182A1;NALWADE SHRIRAM, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1084;US020190287182A1;PAUL ESHA, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1085;US020190287182A1;SINGH HARSIMARAN, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1086;US020190287140A1;ARORA ANKUR, IN;MASTERCARD INTERNATIONAL INC, US
1087;US020190287140A1;BIJAWAT SHUBHAM, IN;MASTERCARD INTERNATIONAL INC, US
1088;US020190287140A1;GUPTA SRISHTI, IN;MASTERCARD INTERNATIONAL INC, US
1089;US020190287140A1;KUMAR AVINASH, IN;MASTERCARD INTERNATIONAL INC, US
1090;US020190287140A1;KUMAWAT JAIPAL SINGH, IN;MASTERCARD INTERNATIONAL INC, US
1091;US020190287140A1;VYAS AVDHESH, IN;MASTERCARD INTERNATIONAL INC, US
1092;US020190287107A1;GAUR NITIN, US;IBM, US
1093;US020190287107A1;GUPTA NIKHIL E, US;IBM, US
1094;US020190278765A1;LIU ZHENG, CN;ALIBABA GROUP HOLDING LTD, KY
1095;US020190278765A1;YING PENGFEI, CN;ALIBABA GROUP HOLDING LTD, KY
1096;US020190268139A1;KURIAN MANU, US;BANK OF AMERICA, US
1097;US020190266661A1;DE OLIVEIRA LUIZ FELIPE SAMPAIO, BR;ACCENTURE GLOBAL SOLUTIONS LTD, IE
1098;US020190266661A1;DE SOUSA MOURA PAULO VICTOR, BR;ACCENTURE GLOBAL SOLUTIONS LTD, IE
1099;US020190253240A1;MARSHALL SHANE R, US;ACCENTURE GLOBAL SOLUTIONS LTD, IE
1100;US020190253240A1;TREAT DAVID, US;ACCENTURE GLOBAL SOLUTIONS LTD, IE
1101;US020190251552A1;KURIAN MANU, US;BANK OF AMERICA, US
1102;US020190238344A1;FUJIO MASAKAZU, JP;HITACHI LTD, JP
1103;US020190238344A1;KAGA YOSUKE, JP;HITACHI LTD, JP
1104;US020190238344A1;NAGANUMA KEN, JP;HITACHI LTD, JP
1105;US020190238344A1;TAKAHASHI KENTA, JP;HITACHI LTD, JP
1106;US020190236602A1;HONG JAY WU, KR;COINPLUG INC, KR
1107;US020190236602A1;SONG JOO HAN, KR;COINPLUG INC, KR
1108;US020190236602A1;UHR JOON SUN, KR;COINPLUG INC, KR
1109;US020190236565A1;HONG JAY WU, KR;COINPLUG INC, KR
1110;US020190236565A1;SONG JOO HAN, KR;COINPLUG INC, KR
1111;US020190236565A1;UHR JOON SUN, KR;COINPLUG INC, KR
1112;US020190208418A1;BREU LORENZ, US;PAYPAL INC, US
1113;US020190207751A1;HARVEY ANN CHARLOT HUNAES, US;BANK OF AMERICA, US
1114;US020190207750A1;HARVEY ANN CHARLOT HUNAES, US;BANK OF AMERICA, US
1115;US020190205932A1;ERICSON BRADEN CHRISTOPHER, US;PAYPAL INC, US
1116;US020190205849A1;NUZZI FRANK ANTHONY, US;PAYPAL INC, US
1117;US020190188702A1;BOLLA RAJA A, US;PAYPAL INC, US
1118;US020190188654A1;ALBRECHT FRANK, DE;SAP SE, DE
1119;US020190182257A1;ANANTHAKRISHNAN LEKHA, US;BANK OF AMERICA, US
1120;US020190182257A1;CASTINADO JOSEPH, US;BANK OF AMERICA, US
1121;US020190182257A1;CHECCO JOHN C, US;BANK OF AMERICA, US
1122;US020190182257A1;LAWRENCE PATRICK NICHOLAS, US;BANK OF AMERICA, US
1123;US020190182257A1;LEE JISOO, US;BANK OF AMERICA, US
1124;US020190182257A1;RAMASAMY SUKI, IN;BANK OF AMERICA, US
1125;US020190182257A1;ROMANO BRAD, US;BANK OF AMERICA, US
1126;US020190182257A1;STAHLHUT WILLIAM AUGUST, US;BANK OF AMERICA, US
1127;US020190180329A1;CHETLUR MALOLAN, IN;IBM, US
1128;US020190180329A1;JAYACHANDRAN PRAVEEN, IN;IBM, US
1129;US020190180276A1;ANANTHAKRISHNAN LEKHA, US;BANK OF AMERICA, US
1130;US020190180276A1;CASTINADO JOSEPH, US;BANK OF AMERICA, US
1131;US020190180276A1;CHECCO JOHN C, US;BANK OF AMERICA, US
1132;US020190180276A1;LAWRENCE PATRICK NICHOLAS, US;BANK OF AMERICA, US
1133;US020190180276A1;LEE JISOO, US;BANK OF AMERICA, US
1134;US020190180276A1;RAMASAMY SUKI, IN;BANK OF AMERICA, US
1135;US020190180276A1;ROMANO BRAD, US;BANK OF AMERICA, US
1136;US020190180276A1;STAHLHUT WILLIAM AUGUST, US;BANK OF AMERICA, US
1137;US020190180266A1;ANAND VISHAL, US;MASTERCARD INTERNATIONAL INC, US
1138;US020190180266A1;SENCI RYAN, US;MASTERCARD INTERNATIONAL INC, US
1139;US020190180266A1;SIDHU NAVJOT S, US;MASTERCARD INTERNATIONAL INC, US
1140;US020190166133A1;CASTINADO JOSEPH, US;BANK OF AMERICA, US
1141;US020190166133A1;FREDERICK CARL R, US;BANK OF AMERICA, US
1142;US020190166133A1;GUTMAN SEAN M, US;BANK OF AMERICA, US
1143;US020190164150A1;GUTMAN SEAN M, US;BANK OF AMERICA, US
1144;US020190164150A1;LEE JISOO, US;BANK OF AMERICA, US
1145;US020190164150A1;STAHLHUT WILLIAM AUGUST, US;BANK OF AMERICA, US
1146;US020190164150A1;VALE CHRISTOPHER S, US;BANK OF AMERICA, US
1147;US020190158470A1;SAVANAH STEPHANE, GB;NCHAIN HOLDINGS LTD, AG
1148;US020190158470A1;WRIGHT CRAIG STEVEN, GB;NCHAIN HOLDINGS LTD, AG
1149;US020190147532A1;BADE VINAY LAXMIKANT, IN;BANK OF AMERICA, US
1150;US020190147532A1;SINGH AWADHESH PRATAP, IN;BANK OF AMERICA, US
1151;US020190147435A1;MEHRHOFF SHAWN, US;MASTERCARD INTERNATIONAL INC, US
1152;US020190147435A1;SCHOLL CHRISTOPHER T, US;MASTERCARD INTERNATIONAL INC, US
1153;US020190130453A1;SASAPU RAMESH N, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1154;US020190129895A1;AMUNDSON SHAWN, US;INTEL CORP, US
1155;US020190129895A1;MIDDLETON DANIEL, US;INTEL CORP, US
1156;US020190116185A1;EMARU HIRONORI, JP;HITACHI LTD, JP
1157;US020190116185A1;NAGAI TAKAYUKI, JP;HITACHI LTD, JP
1158;US020190116024A1;SAVANAH STEPHANE, GB;NCHAIN HOLDINGS LTD, AG
1159;US020190116024A1;WRIGHT CRAIG STEVEN, GB;NCHAIN HOLDINGS LTD, AG
1160;US020190108576A1;LAPRADE FRANK, US;CAPITAL ONE SERVICES LLC, US
1161;US020190108576A1;TOMASZEWICZ MATTHEW, US;CAPITAL ONE SERVICES LLC, US
1162;US020190108482A1;CHINNAKONDA RAJESH, IN;SAP SE, DE
1163;US020190108482A1;VIKAS KUMAR, IN;SAP SE, DE
1164;US020190098013A1;WILKINSON BRUCE W, US;WALMART APOLLO LLC, US
1165;US020190095927A1;COLTON TYLER C, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1166;US020190095927A1;JANDHYALA PADMA D, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1167;US020190095927A1;MORIARTY GLENN S, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1168;US020190095927A1;PETERS MATTHEW B, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1169;US020190095927A1;SHIMPI SUSHIL S, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1170;US020190095927A1;VARMA MEERA GIRIJA, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1171;US020190080345A1;DURVASULA SASTRY V, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1172;US020190080345A1;GUPTA AMIT PRAKASH, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1173;US020190080345A1;KOUL PRIYADARSHINI, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1174;US020190080345A1;MANIVANNAN PREMKUMAR, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1175;US020190080345A1;MUTHUKRISHNAN SATHISH, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1176;US020190080345A1;NAIK HARISH R, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1177;US020190050888A1;ELDER DAVID J, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1178;US020190050888A1;KENNEDY DAVID B, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1179;US020190050888A1;KURMAN MITCHELL, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1180;US020190050888A1;MAHABIR JULES, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1181;US020190044917A1;CHURCH RICHARD PAXTON, US;BANK OF AMERICA, US
1182;US020190044917A1;MOHAMED ZAFER, US;BANK OF AMERICA, US
1183;US020190044917A1;MORK PHILLIP WADE, US;BANK OF AMERICA, US
1184;US020190043023A1;CASTINADO JOSEPH BENJAMIN, US;BANK OF AMERICA, US
1185;US020190043023A1;KURIAN MANU JACOB, US;BANK OF AMERICA, US
1186;US020190035018A1;CARBONI DAVIDE, GB;INTEL CORP, US
1187;US020190035018A1;NOLAN MICHAEL, IE;INTEL CORP, US
1188;US020190035018A1;SMITH NED M, US;INTEL CORP, US
1189;US020190034936A1;CARBONI DAVIDE, GB;INTEL CORP, US
1190;US020190034936A1;NOLAN MICHAEL, IE;INTEL CORP, US
1191;US020190034936A1;SMITH NED M, US;INTEL CORP, US
1192;US020190034920A1;CARBONI DAVIDE, GB;INTEL CORP, US
1193;US020190034920A1;NOLAN MICHAEL, IE;INTEL CORP, US
1194;US020190034920A1;SMITH NED M, US;INTEL CORP, US
1195;US020190034919A1;CARBONI DAVIDE, GB;INTEL CORP, US
1196;US020190034919A1;KELLY MARK, IE;INTEL CORP, US
